,amadeus_code,rates,lat,lon,location_cell,tripadvisor_amenities,tripadvisor_name
59,DZNYCTHN,567.1594594594592,40.76097,-73.98551,52,"['Restaurant', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Children Activities (Kid / Family Friendly)', 'Business Center with Internet Access', 'Multilingual Staff', 'Breakfast Available', 'Meeting Rooms', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",The Time New York
60,EALGA651,156.67627450980376,40.7856,-73.8113,42,"['Free High Speed Internet ( WiFi )', 'Airport Transportation', 'Multilingual Staff', 'Self-Serve Laundry', 'Meeting Rooms', 'Laundry Service', 'Microwave']",Extended Stay America - New York City - Laguardia Airport
61,EBNYCEBE,1577.8653846153845,40.7412,-73.98773,122,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room']",The New York EDITION
62,ELNYC361,338.7888235294118,40.7561,-73.992,15,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Pool', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Conference Facilities', 'Air Conditioning', 'Microwave', 'Fitness Center with Gym / Workout Room', 'Pool']",Element New York Times Square West
63,EONYC318,140.94374999999997,40.76046,-73.98754,52,"['Spa', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Multilingual Staff', 'Air Conditioning', 'Spa', 'Fitness Center with Gym / Workout Room']",Econo Lodge Times Square
64,EZNYC537,397.12183098591544,40.74673,-73.99157,55,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room']",Cambria hotel & suites New York - Chelsea
65,FANYC100,2643.6666666666665,40.7643,-73.9729,51,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Room Service', 'Business Center with Internet Access', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Babysitting', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa']",The Plaza
66,FNJFKJJF,227.09259259259258,40.66632,-73.77945,4,"['Restaurant', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Bar/Lounge', 'Business Center with Internet Access', 'Shuttle Bus Service', 'Breakfast included', 'Airport Transportation', 'Meeting Rooms', 'Multilingual Staff', 'Dry Cleaning', 'Laundry Service', 'Microwave', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",Fairfield Inn New York JFK Airport
67,FNNYCFIF,384.2857142857143,40.75631,-73.99159,15,"['Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Dry Cleaning', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",Fairfield Inn & Suites New York Manhattan/Times Square
68,FNNYCFQF,180.24242424242425,40.7368,-73.93564,39,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Breakfast included', 'Shuttle Bus Service', 'Multilingual Staff', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",Fairfield Inn New York Long Island City / Manhattan View
