,latitude,longitude,price
565,40.617,-73.958,107.0
566,40.617,-73.956,129.0
567,40.617,-73.955,57.0
568,40.617,-73.926,89.0
569,40.618,-74.098,52.0
570,40.618,-74.036,62.5
571,40.618,-74.034,125.0
572,40.618,-74.033,40.0
573,40.618,-74.032,99.66666666666667
574,40.618,-74.03,55.0
575,40.618,-74.028,80.0
576,40.618,-74.027,75.0
577,40.618,-74.013,149.0
578,40.618,-74.012,75.0
579,40.618,-73.992,59.333333333333336
580,40.618,-73.971,49.0
581,40.618,-73.962,47.0
582,40.618,-73.958,70.0
583,40.618,-73.929,34.0
584,40.619,-74.039,35.0
585,40.619,-74.037,125.0
586,40.619,-74.033,71.0
587,40.619,-74.031,95.0
588,40.619,-74.012,230.0
589,40.619,-74.007,160.0
590,40.619,-74.0,120.0
591,40.619,-73.994,110.0
592,40.619,-73.985,28.0
593,40.619,-73.972,53.0
594,40.619,-73.971,113.0
595,40.619,-73.958,50.0
596,40.619,-73.956,175.0
597,40.619,-73.955,97.0
598,40.619,-73.954,60.0
599,40.619,-73.933,90.0
600,40.619,-73.932,62.5
601,40.619,-73.925,125.0
602,40.62,-74.075,70.0
603,40.62,-74.04,79.0
604,40.62,-74.039,75.0
605,40.62,-74.033,55.0
606,40.62,-74.032,33.0
607,40.62,-74.018,60.0
608,40.62,-74.017,60.0
609,40.62,-74.015,150.0
610,40.62,-74.014,210.0
611,40.62,-73.994,93.0
612,40.62,-73.992,28.0
613,40.62,-73.985,29.0
614,40.62,-73.972,47.5
615,40.62,-73.969,59.0
616,40.62,-73.965,85.0
617,40.62,-73.957,59.5
618,40.62,-73.956,50.0
619,40.62,-73.954,68.0
620,40.62,-73.942,100.0
621,40.62,-73.929,40.0
622,40.62,-73.91,70.0
623,40.621,-74.165,45.0
624,40.621,-74.13,65.0
625,40.621,-74.087,49.0
626,40.621,-74.039,99.0
627,40.621,-74.037,120.0
628,40.621,-74.034,179.0
629,40.621,-74.018,60.0
630,40.621,-74.009,150.0
631,40.621,-74.002,115.0
632,40.621,-73.998,60.0
633,40.621,-73.993,55.0
634,40.621,-73.97,110.0
635,40.621,-73.967,60.0
636,40.621,-73.953,69.0
637,40.621,-73.929,30.0
638,40.622,-74.087,49.0
639,40.622,-74.037,49.0
640,40.622,-74.035,60.0
641,40.622,-74.03,104.0
642,40.622,-74.029,60.0
643,40.622,-74.027,45.0
644,40.622,-74.025,150.0
645,40.622,-74.024,400.0
646,40.622,-74.008,90.0
647,40.622,-74.003,50.0
648,40.622,-73.997,50.0
649,40.622,-73.993,50.0
650,40.622,-73.986,27.0
651,40.622,-73.985,40.0
652,40.622,-73.962,38.0
653,40.622,-73.961,49.0
654,40.622,-73.955,65.0
655,40.622,-73.953,60.0
656,40.622,-73.939,62.5
657,40.622,-73.934,130.0
658,40.622,-73.931,38.0
659,40.622,-73.926,30.0
660,40.622,-73.906,100.0
661,40.623,-74.1,99.0
662,40.623,-74.088,120.0
